,Date_reported,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,mask,closed_border,social_restrictions,space_closures,state_of_emergency,testing_screening
0,1/3/2020,0,0,0,0,0,0,0,0,0,0
1,1/4/2020,0,0,0,0,0,0,0,0,0,0
2,1/5/2020,0,0,0,0,0,0,0,0,0,0
3,1/6/2020,0,0,0,0,0,0,0,0,0,0
4,1/7/2020,0,0,0,0,0,0,0,0,0,0
5,1/8/2020,0,0,0,0,0,0,0,0,0,0
6,1/9/2020,0,0,0,0,0,0,0,0,0,0
7,1/10/2020,0,0,0,0,0,0,0,0,0,0
8,1/11/2020,0,0,0,0,0,0,0,0,0,0
9,1/12/2020,0,0,0,0,0,0,0,0,0,0
10,1/13/2020,0,0,0,0,0,0,0,0,0,0
11,1/14/2020,0,0,0,0,0,0,0,0,0,0
12,1/15/2020,0,0,0,0,0,0,0,0,0,0
13,1/16/2020,0,0,0,0,0,0,0,0,0,0
14,1/17/2020,0,0,0,0,0,0,0,0,0,0
15,1/18/2020,0,0,0,0,0,0,0,0,0,0
16,1/19/2020,0,0,0,0,0,0,0,0,0,0
17,1/20/2020,1,1,0,0,0,0,0,0,0,0
18,1/21/2020,0,1,0,0,0,0,0,0,0,0
19,1/22/2020,0,1,0,0,0,0,0,0,0,0
20,1/23/2020,0,1,0,0,0,0,0,0,0,0
21,1/24/2020,0,1,0,0,0,0,0,0,0,0
22,1/25/2020,5,6,0,0,0,0,0,0,0,0
23,1/26/2020,1,7,0,0,0,0,0,0,0,0
24,1/27/2020,0,7,0,0,0,0,0,0,0,0
25,1/28/2020,1,8,0,0,0,0,0,0,0,0
26,1/29/2020,0,8,0,0,0,0,0,0,0,0
27,1/30/2020,0,8,0,0,0,0,0,0,0,0
28,1/31/2020,0,8,0,0,0,0,0,0,0,0
29,2/1/2020,0,8,0,0,0,0,0,0,0,0
30,2/2/2020,1,9,0,0,0,0,0,0,0,0
31,2/3/2020,1,10,0,0,0,0,0,0,0,0
32,2/4/2020,3,13,0,0,0,0,0,0,0,1
33,2/5/2020,4,17,0,0,0,0,0,0,0,1
34,2/6/2020,2,19,0,0,0,0,0,0,0,1
35,2/7/2020,0,19,0,0,0,0,1,0,0,1
36,2/8/2020,0,19,0,0,0,0,1,0,0,1
37,2/9/2020,1,20,0,0,0,0,1,0,0,1
38,2/10/2020,0,20,0,0,0,0,1,0,0,1
39,2/11/2020,0,20,0,0,0,0,1,0,0,1
40,2/12/2020,0,20,0,0,0,0,1,0,0,1
41,2/13/2020,0,20,0,0,0,0,1,0,0,1
42,2/14/2020,2,22,0,0,0,0,1,0,0,1
43,2/15/2020,1,23,0,0,0,0,1,0,0,1
44,2/16/2020,1,24,0,0,0,0,1,0,0,1
45,2/17/2020,0,24,0,0,0,0,1,0,0,1
46,2/18/2020,0,24,0,0,0,0,1,0,0,1
47,2/19/2020,2,26,0,0,0,1,1,0,0,1
48,2/20/2020,5,31,0,0,0,1,1,0,0,1
49,2/21/2020,3,34,0,0,0,1,1,0,0,1
50,2/22/2020,1,35,0,0,0,1,1,0,0,1
51,2/23/2020,5,40,0,0,0,1,1,0,0,1
52,2/24/2020,8,48,0,0,0,1,1,0,0,1
53,2/25/2020,0,48,0,0,0,1,1,0,0,1
54,2/26/2020,4,52,0,0,0,1,1,0,0,1
55,2/27/2020,4,56,0,0,0,1,1,0,0,1
56,2/28/2020,8,64,0,0,0,1,1,0,0,1
57,2/29/2020,5,69,1,1,0,1,1,0,0,1
58,3/1/2020,4,73,0,1,0,1,1,0,0,1
59,3/2/2020,9,82,1,2,0,1,1,0,0,1
60,3/3/2020,18,100,0,2,0,1,1,0,0,1
61,3/4/2020,35,135,6,8,0,1,1,0,0,1
62,3/5/2020,51,186,3,11,0,1,1,0,0,1
63,3/6/2020,70,256,2,13,0,1,1,0,0,1
64,3/7/2020,78,334,3,16,0,1,1,0,0,1
65,3/8/2020,130,464,3,19,0,1,1,0,0,1
66,3/9/2020,146,610,5,24,0,1,1,0,0,1
67,3/10/2020,212,822,4,28,0,1,1,0,0,1
68,3/11/2020,390,1212,4,32,0,1,1,0,0,1
69,3/12/2020,497,1709,7,39,0,1,1,0,0,1
70,3/13/2020,525,2234,12,51,0,1,1,0,0,1
71,3/14/2020,727,2961,7,58,0,1,1,0,0,1
72,3/15/2020,968,3929,11,69,0,1,1,0,0,1
73,3/16/2020,1219,5148,13,82,0,1,1,0,0,1
74,3/17/2020,2135,7283,18,100,0,1,1,0,0,1
75,3/18/2020,2369,9652,21,121,0,1,1,0,0,1
76,3/19/2020,3229,12881,28,149,0,1,1,0,0,1
77,3/20/2020,4862,17743,64,213,0,1,1,1,0,1
78,3/21/2020,6113,23856,69,282,0,1,1,1,1,1
79,3/22/2020,7559,31415,92,374,0,1,1,1,1,1
80,3/23/2020,9110,40525,112,486,0,1,1,1,1,1
81,3/24/2020,10765,51290,118,604,0,1,1,1,1,1
82,3/25/2020,10754,62044,164,768,0,1,1,1,1,1
83,3/26/2020,11332,73376,209,977,0,1,1,1,1,1
84,3/27/2020,14115,87491,301,1278,0,1,1,1,1,1
85,3/28/2020,18474,105965,341,1619,0,1,1,1,1,1
86,3/29/2020,20344,126309,487,2106,0,1,1,1,1,1
87,3/30/2020,20673,146982,556,2662,0,1,1,1,1,1
88,3/31/2020,26161,173143,665,3327,0,1,1,1,1,1
89,4/1/2020,15536,188679,631,3958,0,1,1,1,1,1
90,4/2/2020,23260,211939,982,4940,0,1,1,1,1,1
91,4/3/2020,28674,240613,1121,6061,0,1,1,1,1,1
92,4/4/2020,29790,270403,1311,7372,0,1,1,1,1,1
93,4/5/2020,32057,302460,1376,8748,0,1,1,1,1,1
94,4/6/2020,32134,334594,1540,10288,0,1,1,1,1,1
95,4/7/2020,26984,361578,1873,12161,0,1,1,1,1,1
96,4/8/2020,28629,390207,1691,13852,0,1,1,1,1,1
97,4/9/2020,29355,419562,2093,15945,0,1,1,1,1,1
98,4/10/2020,34148,453710,2221,18166,0,1,1,1,1,1
99,4/11/2020,34743,488453,2230,20396,0,1,1,1,1,1
100,4/12/2020,33179,521632,2241,22637,0,1,1,1,1,1
101,4/13/2020,31535,553167,2192,24829,0,1,1,1,1,1
102,4/14/2020,27094,580261,1857,26686,0,1,1,1,1,1
103,4/15/2020,25244,605505,1905,28591,0,1,1,1,1,1
104,4/16/2020,25259,630764,2432,31023,0,1,1,1,1,1
105,4/17/2020,25208,655972,2731,33754,0,1,1,1,1,1
106,4/18/2020,31494,687466,2445,36199,1,1,1,1,1,1
107,4/19/2020,30316,717782,2336,38535,1,1,1,1,1,1
108,4/20/2020,28281,746063,1848,40383,1,1,1,1,1,1
109,4/21/2020,26070,772133,1993,42376,1,1,1,1,1,1
110,4/22/2020,26428,798561,2077,44453,1,1,1,1,1,1
111,4/23/2020,25927,824488,2673,47126,1,1,1,1,1,1
112,4/24/2020,30470,854958,2221,49347,1,1,1,1,1,1
113,4/25/2020,33211,888169,1984,51331,1,1,1,1,1,1
114,4/26/2020,34778,922947,2103,53434,1,1,1,1,1,1
115,4/27/2020,33603,956550,1892,55326,1,1,1,1,1,1
116,4/28/2020,26063,982613,1535,56861,1,1,1,1,1,1
117,4/29/2020,23758,1006371,1489,58350,1,1,1,1,1,1
118,4/30/2020,23935,1030306,2111,60461,1,1,1,1,1,1
119,5/1/2020,26774,1057080,2417,62878,1,1,1,1,1,1
120,5/2/2020,31221,1088301,2238,65116,1,1,1,1,1,1
121,5/3/2020,33082,1121383,1953,67069,1,1,1,1,1,1
122,5/4/2020,28292,1149675,1609,68678,1,1,1,1,1,1
123,5/5/2020,25927,1175602,1412,70090,1,1,1,1,1,1
124,5/6/2020,22324,1197926,1271,71361,1,1,1,1,1,1
125,5/7/2020,22878,1220804,2434,73795,1,1,1,1,1,1
126,5/8/2020,25440,1246244,2341,76136,1,1,1,1,1,1
127,5/9/2020,28552,1274796,2033,78169,1,1,1,1,1,1
128,5/10/2020,28833,1303629,1658,79827,1,1,1,1,1,1
129,5/11/2020,25917,1329546,1491,81318,1,1,1,1,1,1
130,5/12/2020,20656,1350202,1073,82391,1,1,1,1,1,1
131,5/13/2020,19950,1370152,1034,83425,1,1,1,1,1,1
132,5/14/2020,23902,1394054,1533,84958,1,1,1,1,1,1
133,5/15/2020,17336,1411390,1507,86465,1,1,1,1,1,1
134,5/16/2020,34643,1446033,1943,88408,1,1,1,1,1,1
135,5/17/2020,26628,1472661,1549,89957,1,1,1,1,1,1
136,5/18/2020,26081,1498742,1239,91196,1,1,1,1,1,1
137,5/19/2020,19917,1518659,927,92123,1,1,1,1,1,1
138,5/20/2020,22744,1541403,946,93069,1,1,1,1,1,1
139,5/21/2020,21923,1563326,1179,94248,1,1,1,1,1,1
140,5/22/2020,23506,1586832,1374,95622,1,1,1,1,1,1
141,5/23/2020,26191,1613023,1083,96705,1,1,1,1,1,1
142,5/24/2020,25963,1638986,1810,98515,1,1,1,1,1,1
143,5/25/2020,21465,1660451,937,99452,1,1,1,1,1,1
144,5/26/2020,20651,1681102,788,100240,1,1,1,1,1,1
145,5/27/2020,19379,1700481,687,100927,1,1,1,1,1,1
146,5/28/2020,17510,1717991,811,101738,1,1,1,1,1,1
147,5/29/2020,19508,1737499,1285,103023,1,1,1,1,1,1
148,5/30/2020,24182,1761681,1251,104274,1,1,1,1,1,1
149,5/31/2020,23741,1785422,1051,105325,1,1,1,1,1,1
150,6/1/2020,24127,1809549,906,106231,1,1,1,1,1,1
151,6/2/2020,21466,1831015,673,106904,1,1,1,1,1,1
152,6/3/2020,17157,1848172,691,107595,1,1,1,1,1,1
153,6/4/2020,20974,1869146,934,108529,1,1,1,1,1,1
154,6/5/2020,20695,1889841,1022,109551,1,1,1,1,1,1
155,6/6/2020,20870,1910711,885,110436,1,1,1,1,1,1
156,6/7/2020,24491,1935202,876,111312,1,1,1,1,1,1
157,6/8/2020,23285,1958487,669,111981,1,1,1,1,1,1
158,6/9/2020,18455,1976942,593,112574,1,1,1,1,1,1
159,6/10/2020,18151,1995093,776,113350,1,1,1,1,1,1
160,6/11/2020,18581,2013674,827,114177,1,1,1,1,1,1
161,6/12/2020,22181,2035855,882,115059,1,1,1,1,1,1
162,6/13/2020,22890,2058745,888,115947,1,1,1,1,1,1
163,6/14/2020,28333,2087078,735,116682,1,1,1,1,1,1
164,6/15/2020,26434,2113512,685,117367,1,1,1,1,1,1
165,6/16/2020,20778,2134290,489,117856,1,1,1,1,1,1
166,6/17/2020,20591,2154881,525,118381,1,1,1,1,1,1
167,6/18/2020,24777,2179658,674,119055,1,1,1,1,1,1
168,6/19/2020,25816,2205474,684,119739,1,1,1,1,1,1
169,6/20/2020,28520,2233994,643,120382,1,1,1,1,1,1
170,6/21/2020,33105,2267099,755,121137,1,1,1,1,1,1
171,6/22/2020,33467,2300566,576,121713,1,1,1,1,1,1
172,6/23/2020,27345,2327911,413,122126,1,1,1,1,1,1
173,6/24/2020,28698,2356609,415,122541,1,1,1,1,1,1
174,6/25/2020,37887,2394496,746,123287,1,1,1,1,1,1
175,6/26/2020,37320,2431816,692,123979,1,1,1,1,1,1
176,6/27/2020,47021,2478837,2533,126512,1,1,1,1,1,1
177,6/28/2020,46540,2525377,706,127218,1,1,1,1,1,1
178,6/29/2020,43653,2569030,593,127811,1,1,1,1,1,1
179,6/30/2020,37583,2606613,439,128250,1,1,1,1,1,1
180,7/1/2020,38517,2645130,461,128711,1,1,1,1,1,1
181,7/2/2020,47253,2692383,662,129373,1,1,1,1,1,1
182,7/3/2020,59342,2751725,782,130155,1,1,1,1,1,1
183,7/4/2020,55452,2807177,704,130859,1,1,1,1,1,1
184,7/5/2020,60366,2867543,810,131669,1,1,1,1,1,1
185,7/6/2020,48978,2916521,539,132208,1,1,1,1,1,1
186,7/7/2020,40413,2956934,460,132668,1,1,1,1,1,1
187,7/8/2020,50763,3007697,598,133266,1,1,1,1,1,1
188,7/9/2020,56754,3064451,928,134194,1,1,1,1,1,1
189,7/10/2020,64775,3129226,1079,135273,1,1,1,1,1,1
190,7/11/2020,61943,3191169,961,136234,1,1,1,1,1,1
191,7/12/2020,68579,3259748,964,137198,1,1,1,1,1,1
192,7/13/2020,68262,3328010,889,138087,1,1,1,1,1,1
193,7/14/2020,58680,3386690,840,138927,1,1,1,1,1,1
194,7/15/2020,56287,3442977,731,139658,1,1,1,1,1,1
195,7/16/2020,64516,3507493,914,140572,1,1,1,1,1,1
196,7/17/2020,72389,3579882,1122,141694,1,1,1,1,1,1
197,7/18/2020,69181,3649063,1089,142783,1,1,1,1,1,1
198,7/19/2020,76952,3726015,1081,143864,1,1,1,1,1,1
199,7/20/2020,67324,3793339,1005,144869,1,1,1,1,1,1
200,7/21/2020,60012,3853351,932,145801,1,1,1,1,1,1
201,7/22/2020,58519,3911870,867,146668,1,1,1,1,1,1
202,7/23/2020,63336,3975206,1193,147861,1,1,1,1,1,1
203,7/24/2020,72416,4047622,1191,149052,1,1,1,1,1,1
204,7/25/2020,73142,4120764,1254,150306,1,1,1,1,1,1
205,7/26/2020,73152,4193916,1284,151590,1,1,1,1,1,1
206,7/27/2020,61596,4255512,1148,152738,1,1,1,1,1,1
207,7/28/2020,57759,4313271,951,153689,1,1,1,1,1,1
208,7/29/2020,54007,4367278,936,154625,1,1,1,1,1,1
209,7/30/2020,58708,4425986,1163,155788,1,1,1,1,1,1
210,7/31/2020,64855,4490841,1179,156967,1,1,1,1,1,1
211,8/1/2020,66141,4556982,1400,158367,1,1,1,1,1,1
212,8/2/2020,68184,4625166,1369,159736,1,1,1,1,1,1
213,8/3/2020,56412,4681578,1164,160900,1,1,1,1,1,1
214,8/4/2020,50849,4732427,922,161822,1,1,1,1,1,1
215,8/5/2020,45329,4777756,853,162675,1,1,1,1,1,1
216,8/6/2020,52056,4829812,1072,163747,1,1,1,1,1,1
217,8/7/2020,55592,4885404,1260,165007,1,1,1,1,1,1
218,8/8/2020,53165,4938569,1211,166218,1,1,1,1,1,1
219,8/9/2020,62506,5001075,1317,167535,1,1,1,1,1,1
220,8/10/2020,51679,5052754,1043,168578,1,1,1,1,1,1
221,8/11/2020,46473,5099227,900,169478,1,1,1,1,1,1
222,8/12/2020,43377,5142604,795,170273,1,1,1,1,1,1
223,8/13/2020,58958,5201562,1098,171371,1,1,1,1,1,1
224,8/14/2020,54392,5255954,1326,172697,1,1,1,1,1,1
225,8/15/2020,51522,5307476,1195,173892,1,1,1,1,1,1
226,8/16/2020,56261,5363737,1047,174939,1,1,1,1,1,1
227,8/17/2020,51137,5414874,952,175891,1,1,1,1,1,1
228,8/18/2020,41495,5456369,889,176780,1,1,1,1,1,1
229,8/19/2020,41589,5497958,637,177417,1,1,1,1,1,1
230,8/20/2020,41625,5539583,928,178345,1,1,1,1,1,1
231,8/21/2020,46574,5586157,1264,179609,1,1,1,1,1,1
232,8/22/2020,46187,5632344,1000,180609,1,1,1,1,1,1
233,8/23/2020,47181,5679525,1007,181616,1,1,1,1,1,1
234,8/24/2020,42550,5722075,1006,182622,1,1,1,1,1,1
235,8/25/2020,36210,5758285,836,183458,1,1,1,1,1,1
236,8/26/2020,35716,5794001,584,184042,1,1,1,1,1,1
237,8/27/2020,40574,5834575,880,184922,1,1,1,1,1,1
238,8/28/2020,46430,5881005,1062,185984,1,1,1,1,1,1
239,8/29/2020,46920,5927925,940,186924,1,1,1,1,1,1
240,8/30/2020,46546,5974471,1035,187959,1,1,1,1,1,1
241,8/31/2020,40908,6015379,839,188798,1,1,1,1,1,1
242,9/1/2020,36635,6052014,717,189515,1,1,1,1,1,1
243,9/2/2020,38696,6090710,553,190068,1,1,1,1,1,1
244,9/3/2020,39178,6129888,860,190928,1,1,1,1,1,1
245,9/4/2020,43647,6173535,884,191812,1,1,1,1,1,1
246,9/5/2020,45272,6218807,948,192760,1,1,1,1,1,1
247,9/6/2020,50917,6269724,904,193664,1,1,1,1,1,1
248,9/7/2020,41129,6310853,801,194465,1,1,1,1,1,1
249,9/8/2020,34237,6345090,685,195150,1,1,1,1,1,1
250,9/9/2020,24876,6369966,417,195567,1,1,1,1,1,1
251,9/10/2020,28054,6398020,553,196120,1,1,1,1,1,1
252,9/11/2020,34660,6432680,826,196946,1,1,1,1,1,1
253,9/12/2020,38583,6471263,832,197778,1,1,1,1,1,1
254,9/13/2020,44082,6515345,863,198641,1,1,1,1,1,1
255,9/14/2020,40371,6555716,662,199303,1,1,1,1,1,1
256,9/15/2020,32888,6588604,720,200023,1,1,1,1,1,1
257,9/16/2020,34336,6622940,359,200382,1,1,1,1,1,1
258,9/17/2020,36815,6659755,801,201183,1,1,1,1,1,1
259,9/18/2020,43910,6703665,1099,202282,1,1,1,1,1,1
260,9/19/2020,44530,6748195,732,203014,1,1,1,1,1,1
261,9/20/2020,48127,6796322,803,203817,1,1,1,1,1,1
262,9/21/2020,42181,6838503,674,204491,1,1,1,1,1,1
263,9/22/2020,34450,6872953,484,204975,1,1,1,1,1,1
264,9/23/2020,41398,6914351,537,205512,1,1,1,1,1,1
265,9/24/2020,49528,6963879,660,206172,1,1,1,1,1,1
266,9/25/2020,41641,7005520,903,207075,1,1,1,1,1,1
267,9/26/2020,45961,7051481,740,207815,1,1,1,1,1,1
268,9/27/2020,49615,7101096,778,208593,1,1,1,1,1,1
269,9/28/2020,42035,7143131,664,209257,1,1,1,1,1,1
270,9/29/2020,35551,7178682,502,209759,1,1,1,1,1,1
271,9/30/2020,38402,7217084,400,210159,1,1,1,1,1,1
272,10/1/2020,38881,7255965,795,210954,1,1,1,1,1,1
273,10/2/2020,45920,7301885,686,211640,1,1,1,1,1,1
274,10/3/2020,46624,7348509,733,212373,1,1,1,1,1,1
275,10/4/2020,50935,7399444,907,213280,1,1,1,1,1,1
276,10/5/2020,47727,7447171,565,213845,1,1,1,1,1,1
277,10/6/2020,35774,7482945,598,214443,1,1,1,1,1,1
278,10/7/2020,41602,7524547,508,214951,1,1,1,1,1,1
279,10/8/2020,41654,7566201,635,215586,1,1,1,1,1,1
280,10/9/2020,52594,7618795,782,216368,1,1,1,1,1,1
281,10/10/2020,56104,7674899,735,217103,1,1,1,1,1,1
282,10/11/2020,58794,7733693,792,217895,1,1,1,1,1,1
283,10/12/2020,54216,7787909,681,218576,1,1,1,1,1,1
284,10/13/2020,44423,7832332,573,219149,1,1,1,1,1,1
285,10/14/2020,49144,7881476,497,219646,1,1,1,1,1,1
286,10/15/2020,50497,7931973,652,220298,1,1,1,1,1,1
287,10/16/2020,57229,7989202,821,221119,1,1,1,1,1,1
288,10/17/2020,63046,8052248,697,221816,1,1,1,1,1,1
289,10/18/2020,69079,8121327,880,222696,1,1,1,1,1,1
290,10/19/2020,54548,8175875,693,223389,1,1,1,1,1,1
291,10/20/2020,48887,8224762,733,224122,1,1,1,1,1,1
292,10/21/2020,61362,8286124,612,224734,1,1,1,1,1,1
293,10/22/2020,58741,8344865,791,225525,1,1,1,1,1,1
294,10/23/2020,68657,8413522,1059,226584,1,1,1,1,1,1
295,10/24/2020,74903,8488425,916,227500,1,1,1,1,1,1
296,10/25/2020,82340,8570765,919,228419,1,1,1,1,1,1
297,10/26/2020,76181,8646946,836,229255,1,1,1,1,1,1
298,10/27/2020,65610,8712556,601,229856,1,1,1,1,1,1
299,10/28/2020,69584,8782140,682,230538,1,1,1,1,1,1
300,10/29/2020,74961,8857101,896,231434,1,1,1,1,1,1
301,10/30/2020,84410,8941511,1063,232497,1,1,1,1,1,1
302,10/31/2020,91130,9032641,1110,233607,1,1,1,1,1,1
303,11/1/2020,97518,9130159,908,234515,1,1,1,1,1,1
304,11/2/2020,92783,9222942,942,235457,1,1,1,1,1,1
305,11/3/2020,141582,9364524,708,236165,1,1,1,1,1,1
306,11/4/2020,87188,9451712,738,236903,1,1,1,1,1,1
307,11/5/2020,98499,9550211,1031,237934,1,1,1,1,1,1
308,11/6/2020,113875,9664086,1298,239232,1,1,1,1,1,1
309,11/7/2020,122830,9786916,1227,240459,1,1,1,1,1,1
310,11/8/2020,133337,9920253,1260,241719,1,1,1,1,1,1
311,11/9/2020,129810,10050063,1095,242814,1,1,1,1,1,1
312,11/10/2020,111648,10161711,882,243696,1,1,1,1,1,1
313,11/11/2020,124487,10286198,930,244626,1,1,1,1,1,1
314,11/12/2020,145951,10432149,1674,246300,1,1,1,1,1,1
315,11/13/2020,153660,10585809,1518,247818,1,1,1,1,1,1
316,11/14/2020,162300,10748109,1347,249165,1,1,1,1,1,1
317,11/15/2020,176989,10925098,1271,250436,1,1,1,1,1,1
318,11/16/2020,164239,11089337,1472,251908,1,1,1,1,1,1
319,11/17/2020,137564,11226901,1027,252935,1,1,1,1,1,1
320,11/18/2020,153374,11380275,1018,253953,1,1,1,1,1,1
321,11/19/2020,167352,11547627,1591,255544,1,1,1,1,1,1
322,11/20/2020,170904,11718531,1833,257377,1,1,1,1,1,1
323,11/21/2020,188681,11907212,1920,259297,1,1,1,1,1,1
324,11/22/2020,193369,12100581,1959,261256,1,1,1,1,1,1
325,11/23/2020,173861,12274442,1724,262980,1,1,1,1,1,1
326,11/24/2020,149783,12424225,1303,264283,1,1,1,1,1,1
327,11/25/2020,160411,12584636,1413,265696,1,1,1,1,1,1
328,11/26/2020,175183,12759819,1889,267585,1,1,1,1,1,1
329,11/27/2020,194100,12953919,2289,269874,1,1,1,1,1,1
330,11/28/2020,145029,13098948,1674,271548,1,1,1,1,1,1
331,11/29/2020,164034,13262982,1658,273206,1,1,1,1,1,1
332,11/30/2020,144575,13407557,1506,274712,1,1,1,1,1,1
333,12/1/2020,141072,13548629,1281,275993,1,1,1,1,1,1
334,12/2/2020,151905,13700534,1546,277539,1,1,1,1,1,1
335,12/3/2020,192718,13893252,2379,279918,1,1,1,1,1,1
336,12/4/2020,210074,14103326,2756,282674,1,1,1,1,1,1
337,12/5/2020,216782,14320108,2740,285414,1,1,1,1,1,1
338,12/6/2020,223806,14543914,2593,288007,1,1,1,1,1,1
339,12/7/2020,205575,14749489,2376,290383,1,1,1,1,1,1
340,12/8/2020,176909,14926398,1588,291971,1,1,1,1,1,1
341,12/9/2020,183091,15109489,1973,293944,1,1,1,1,1,1
342,12/10/2020,226982,15336471,2561,296505,1,1,1,1,1,1
343,12/11/2020,221251,15557722,3323,299828,1,1,1,1,1,1
344,12/12/2020,208835,15766557,2705,302533,1,1,1,1,1,1
345,12/13/2020,245839,16012396,3188,305721,1,1,1,1,1,1
346,12/14/2020,217153,16229549,2440,308161,1,1,1,1,1,1
347,12/15/2020,181275,16410824,2037,310198,1,1,1,1,1,1
348,12/16/2020,198204,16609028,1955,312153,1,1,1,1,1,1
349,12/17/2020,198650,16807678,2758,314911,1,1,1,1,1,1
350,12/18/2020,240266,17047944,3389,318300,1,1,1,1,1,1
351,12/19/2020,246505,17294449,3338,321638,1,1,1,1,1,1
352,12/20/2020,235875,17530324,2949,324587,1,1,1,1,1,1
353,12/21/2020,202289,17732613,2727,327314,1,1,1,1,1,1
354,12/22/2020,186429,17919042,2090,329404,1,1,1,1,1,1
355,12/23/2020,183553,18102595,2129,331533,1,1,1,1,1,1
356,12/24/2020,197759,18300354,2891,334424,1,1,1,1,1,1
357,12/25/2020,226200,18526554,3238,337662,1,1,1,1,1,1
358,12/26/2020,202550,18729104,3021,340683,1,1,1,1,1,1
359,12/27/2020,161342,18890446,2237,342920,1,1,1,1,1,1
360,12/28/2020,147119,19037565,1650,344570,1,1,1,1,1,1
361,12/29/2020,154342,19191907,1903,346473,1,1,1,1,1,1
362,12/30/2020,176774,19368681,2180,348653,1,1,1,1,1,1
363,12/31/2020,208904,19577585,3351,352004,1,1,1,1,1,1
364,1/1/2021,235818,19813403,3763,355767,1,1,1,1,1,1
365,1/2/2021,229492,20042895,3754,359521,1,1,1,1,1,1
366,1/3/2021,228546,20271441,3049,362570,1,1,1,1,1,1
367,1/4/2021,225318,20496759,2384,364954,1,1,1,1,1,1
368,1/5/2021,205458,20702217,2044,366998,1,1,1,1,1,1
369,1/6/2021,174314,20876531,2029,369027,1,1,1,1,1,1
370,1/7/2021,242441,21118972,3496,372523,1,1,1,1,1,1
371,1/8/2021,257750,21376722,3855,376378,1,1,1,1,1,1
372,1/9/2021,269765,21646487,3978,380356,1,1,1,1,1,1
373,1/10/2021,292105,21938592,3711,384067,1,1,1,1,1,1
374,1/11/2021,256294,22194886,3411,387478,1,1,1,1,1,1
375,1/12/2021,224484,22419370,2555,390033,1,1,1,1,1,1
376,1/13/2021,204122,22623492,2534,392567,1,1,1,1,1,1
377,1/14/2021,217776,22841268,3600,396167,1,1,1,1,1,1
378,1/15/2021,226378,23067646,4066,400233,1,1,1,1,1,1
379,1/16/2021,223583,23291229,3762,403995,1,1,1,1,1,1
